feedback_id,store_id,comment,rating,feedback_date
1,5,Loved the croissant,4,2024-03-09
2,2,Great service!,4,2024-02-19
3,1,Line was too long,5,2024-04-23
4,2,Not impressed,5,2024-04-24
5,3,Wifi was slow,5,2024-01-13
6,1,Wifi was slow,3,2024-03-05
7,1,Too noisy,4,2024-03-12
8,3,Needs more vegan options,5,2024-01-01
9,2,Needs more vegan options,2,2024-01-20
10,2,Bad experience,3,2024-04-12
11,4,Needs more vegan options,5,2024-04-24
12,4,Needs more vegan options,4,2024-01-25
13,5,Tasty food,4,2024-01-29
14,5,Bad experience,4,2024-03-07
15,2,Coffee was cold,4,2024-04-26
16,3,Loved the croissant,5,2024-04-02
17,2,Will come again,3,2024-01-18
18,1,Friendly barista,3,2024-04-26
19,4,Loved the croissant,4,2024-03-22
20,4,Coffee was cold,3,2024-03-28
21,2,Excellent staff,5,2024-02-26
22,1,Friendly barista,4,2024-02-22
23,2,Line was too long,4,2024-03-10
24,2,Bad experience,4,2024-04-01
25,2,Too noisy,1,2024-03-02
26,1,Coffee was cold,4,2024-02-21
27,4,Not impressed,3,2024-03-18
28,3,Excellent staff,4,2024-01-26
29,5,Line was too long,5,2024-03-11
30,1,Great service!,3,2024-01-11
31,4,Tasty food,1,2024-01-21
32,2,Excellent staff,1,2024-03-09
33,3,Too noisy,5,2024-01-31
34,5,Line was too long,4,2024-02-14
35,5,Needs more vegan options,4,2024-04-18
36,1,Wifi was slow,4,2024-03-04
37,2,Bad experience,3,2024-01-27
38,2,Coffee was cold,1,2024-04-06
39,3,Very clean,3,2024-02-03
40,5,Tasty food,5,2024-02-19
41,1,Bad experience,4,2024-04-09
42,2,Great service!,5,2024-04-19
43,5,Very clean,3,2024-03-09
44,5,Coffee was cold,4,2024-01-26
45,4,Tasty food,1,2024-02-17
46,3,Not impressed,1,2024-02-21
47,2,Best coffee ever,4,2024-04-08
48,4,Coffee was cold,4,2024-03-24
49,3,Will come again,5,2024-03-18
50,4,Tasty food,1,2024-01-05
51,2,Great service!,5,2024-01-12
52,1,Very clean,4,2024-01-13
53,4,Wifi was slow,5,2024-04-21
54,4,Too noisy,4,2024-03-31
55,5,Not impressed,3,2024-03-31
56,2,Friendly barista,3,2024-01-16
57,4,Friendly barista,4,2024-02-20
58,1,Excellent staff,2,2024-02-23
59,4,Bad experience,5,2024-03-08
60,3,Coffee was cold,5,2024-01-13
61,1,Too noisy,5,2024-01-18
62,1,Loved the croissant,5,2024-04-18
63,4,Best coffee ever,4,2024-03-16
64,4,Not impressed,4,2024-01-19
65,5,Will come again,4,2024-03-21
66,2,Coffee was cold,3,2024-02-11
67,5,Too noisy,2,2024-03-11
68,3,Loved the croissant,3,2024-01-21
69,2,Great service!,3,2024-04-19
70,5,Great service!,5,2024-04-12
71,5,Tasty food,5,2024-02-22
72,4,Loved the croissant,5,2024-01-01
73,5,Line was too long,5,2024-01-14
74,4,Very clean,1,2024-01-03
75,1,Too noisy,1,2024-04-05
76,2,Best coffee ever,4,2024-01-09
77,4,Wifi was slow,1,2024-01-11
78,5,Needs more vegan options,5,2024-01-23
79,4,Very clean,4,2024-01-30
80,1,Friendly barista,5,2024-02-16
81,3,Tasty food,3,2024-04-28
82,3,Wifi was slow,4,2024-01-05
83,1,Great service!,4,2024-01-30
84,5,Best coffee ever,3,2024-04-24
85,2,Friendly barista,4,2024-03-30
86,2,Coffee was cold,4,2024-03-08
87,4,Needs more vegan options,4,2024-04-25
88,3,Loved the croissant,4,2024-03-31
89,1,Best coffee ever,4,2024-01-29
90,5,Needs more vegan options,4,2024-02-14
91,1,Great service!,2,2024-04-11
92,3,Wifi was slow,5,2024-04-27
93,1,Friendly barista,2,2024-01-07
94,1,Needs more vegan options,3,2024-01-16
95,1,Wifi was slow,1,2024-03-12
96,4,Excellent staff,5,2024-03-29
97,5,Line was too long,2,2024-03-28
98,2,Friendly barista,3,2024-02-10
99,5,Tasty food,4,2024-04-14
100,3,Needs more vegan options,5,2024-03-01
101,2,Coffee was cold,5,2024-02-20
102,4,Wifi was slow,2,2024-02-24
103,2,Will come again,4,2024-03-04
104,2,Tasty food,3,2024-02-20
105,2,Best coffee ever,5,2024-01-21
106,1,Too noisy,5,2024-04-16
107,3,Very clean,3,2024-02-27
108,4,Best coffee ever,4,2024-03-20
109,3,Too noisy,4,2024-04-14
110,1,Needs more vegan options,5,2024-02-16
111,4,Tasty food,5,2024-01-11
112,1,Too noisy,5,2024-03-01
113,4,Friendly barista,4,2024-03-12
114,4,Friendly barista,4,2024-04-08
115,5,Loved the croissant,3,2024-04-19
116,1,Friendly barista,5,2024-01-06
117,3,Friendly barista,5,2024-04-10
118,1,Wifi was slow,4,2024-03-15
119,1,Best coffee ever,4,2024-01-28
120,1,Not impressed,5,2024-02-11
121,5,Coffee was cold,5,2024-02-21
122,5,Excellent staff,2,2024-01-11
123,5,Needs more vegan options,4,2024-03-10
124,5,Excellent staff,4,2024-02-09
125,1,Too noisy,3,2024-01-30
126,3,Great service!,2,2024-02-25
127,2,Too noisy,3,2024-03-18
128,1,Great service!,3,2024-03-17
129,3,Bad experience,3,2024-04-08
130,2,Not impressed,5,2024-01-06
131,2,Bad experience,5,2024-02-18
132,5,Great service!,3,2024-02-02
133,2,Too noisy,3,2024-01-11
134,3,Tasty food,4,2024-03-05
135,5,Not impressed,4,2024-01-27
136,1,Wifi was slow,2,2024-01-30
137,1,Best coffee ever,5,2024-02-15
138,5,Wifi was slow,2,2024-01-26
139,5,Excellent staff,2,2024-01-28
140,2,Bad experience,4,2024-04-14
141,2,Best coffee ever,3,2024-02-01
142,3,Best coffee ever,3,2024-03-14
143,5,Best coffee ever,5,2024-01-12
144,1,Loved the croissant,4,2024-04-26
145,3,Best coffee ever,5,2024-04-28
146,1,Line was too long,2,2024-04-09
147,1,Coffee was cold,5,2024-04-23
148,3,Coffee was cold,5,2024-04-16
149,1,Best coffee ever,4,2024-03-26
150,5,Best coffee ever,5,2024-01-16
151,5,Wifi was slow,4,2024-03-22
152,3,Friendly barista,5,2024-03-11
153,1,Wifi was slow,3,2024-02-21
